usernames,reviews,ratings,Polarity,Subjectivity,Sentiment Type
Varsha Sadanand Salve,The iPhone 15 exceeded my expectations in every way possible The sleek design stunning display and lightning fast performance make it a standout device in the smartphone market The camera quality is unparalleled capturing every moment with incredible detail and clarity Plus the battery life is impressive easily lasting me throughout the day With the added bonus of a great deal and discount purchasing the iPhone 15 from Flipkart was an absolute steal,5.0,0.45,0.77,Positive
Jayanta Roy,Nice,5.0,0.6,1.0,Positive
Flipkart Customer,Camera,5.0,0.0,0.0,Negative
Sajib Das,moving from android to apple is a surreal experience still apple could focus on more flexibility towards the apps,5.0,0.38,0.75,Positive
Bhaskar Sharma,Awesome,5.0,1.0,1.0,Positive
Neeraj Chouhan,Amezing camera and all over best phone,5.0,1.0,0.3,Positive
Dr Rohith Gurugubelli,Great for photography nd videography Especially inbuilt 2x zoom helps a lot which is missing in previous basic models,5.0,0.09,0.42,Negative
Anwar Customer,Only 90fps is need And best phone of the year goes to this phone,5.0,0.5,0.65,Positive
Jayanth Jai,Their is nothing to explain about Apple iPhone nowadays everyone knows when ur comes to iPhone 15 is just amazing,5.0,0.6,0.9,Positive
Akash Deep,Camera is just wow All classes clicks are done at night phone Performance is awesome I m writing now again for review it s really maintained its premium image,5.0,0.43,0.73,Positive
Shubhanker Singh,Simply wow wow wow,5.0,0.1,1.0,Positive
Flipkart Customer,Best for regular usage,5.0,0.5,0.19,Positive
ANUP SINGH GAUTAM,Absolutely gorgeous,5.0,0.7,0.9,Positive
SANDEEP SOMAN,48 megapixel is lit Thin bessels compared to 14 Lesser in weight Dynamic Island works perfectly Good battery backup My rating 5 5,5.0,0.07,0.53,Negative
SYAM SUNDER,Camera is so good,5.0,0.7,0.6,Positive
Akhilesh Bepari,It s performance is super and nice camera also a ok battery backup,5.0,0.48,0.72,Positive
Atul Negi,It looks so good in my hand WAU,5.0,0.7,0.6,Positive
Feroz Basha,Loved this product,5.0,0.7,0.8,Positive
RAHUL SEN,Such a amazing phone,5.0,0.3,0.7,Positive
Anubhav Chauhan,I have recently switched from Android to ios it does feel very strange at the beginning but now I am getting habitual to the ios It is really very nice and feels premium The camera is also very nice I am fully satisfied with this purchase,5.0,0.4,0.69,Positive
Sharon Lepcha,I was sceptical of online purchase but I was wrong I got what I ordered Best phone ever,5.0,0.25,0.6,Positive
Kesab Pradhan,Nice photo,4.0,0.6,1.0,Positive
Naveen S,Very nice product we loved the phone very much,4.0,0.58,0.69,Positive
Preenit Rai,Camera is good but not too good like other camera phone Performance is good but missed 90hz display Battery is good enough for a day use Sound is quite awesome like no other phones Rest phone is good to go for,5.0,0.48,0.57,Positive
Abhijit Kumar,A perfect n balanced phone Was thinking of switching to ios from last two years and yeah its worth buying the black beauty,5.0,0.28,0.4,Positive
SHASHANK PATHAK,Great Experience Flipkart I am giving 10 of 10 Camera Sound Screen Transportation Mi note 9 pro Max to Iphone 15,5.0,0.6,0.57,Positive
Kishu Kumar,Absolutely premium product just wow,5.0,0.15,0.95,Positive
jay singh,Just upgraded from iphone 12 to 15 and I totally loved this 15 series Camera No doubt iphones camera are best of any other smartphone primary camera is now 48mp which gives quite sharp images 2x in portrait mode is definitely a game changer in base varient Battery 3349 mAH is quite better as compared to older versions Performance Apple improve performance by introducing A 16 bionic chip no doubt performance is on top Display In display we get dynamic island which gives phone mo,5.0,0.17,0.51,Positive
ABIR MODAK,The camera quality is just awesome just like DSLR,5.0,1.0,1.0,Positive
Nilanjan Pal,Meet my expectations,5.0,0.0,0.0,Negative
Bibhu Prasad Bisoyi,Nice Product Thanks for Flipkart Camera 10 10 Battery 8 10 Display 10 10,5.0,0.4,0.6,Positive
PROSIT DAS,As Expected,5.0,-0.1,0.4,Negative
Sunny Patel,Loved it,5.0,0.7,0.8,Positive
Flipkart Customer,This mobile is phenomenal I like the camera most,5.0,0.5,0.5,Positive
Mukesh Kumar,Pic Quality Awesome,5.0,1.0,1.0,Positive
Nirmala Sahu,Just ok like any other premium android phone Sound is just fantastic and face unlock feature is more convenient than fingerprint scanner Battery backup is more than android 5000 mah battery This is my frist iPhone migrated from android due to chipset heating problem in Google tensor chip and Samsung exonys processsor,5.0,0.29,0.51,Positive
Purnendu Mondal,Switch from android to iPhone Just wow Camera and battery backup is outstanding for daily use,5.0,0.2,0.62,Positive
Ajmir Hossain,I have been using this phone since two months And this phone is amazing Camera 10 10 Display 10 10 Performance 10 10 Battery 9 5 10,5.0,0.6,0.9,Positive
Nilesh Yadav,Best in class Superb camera and performance Fine grip,5.0,0.81,0.6,Positive
Mohammad Zishan,Amazing one,5.0,0.6,0.9,Positive
Abnish Sen,Super,5.0,0.33,0.67,Positive
Urgain Norzin,It s amazing nd also the delivery boy was very humble,5.0,0.17,0.71,Positive
Anish Sanjay,Really its the best and richest design,5.0,0.6,0.25,Positive
Arpan Dewanjee,Writing this review after extensive usage Hope it helps interested buyers decide 1 Display 4 5 Great display but limited to 60Hz in 2023 24 2 Camera 4 5 Great cameras but no telephoto at this price segment but this time Apple really nailed it with the 15 series 24mp shots are very sharp and detailed 3 Performance 5 5 One of the fastest SOC available right now 4 Battery 3 5 Average battery life also charger not included in the box and still charges slowly with the 20w bric,4.0,0.2,0.51,Positive
Surabhi Das,Awesome,5.0,1.0,1.0,Positive
Ayan Das,Light weight phone Camera and sound is fine and performance is highly appreciable,5.0,0.34,0.54,Positive
VENKATESH REDDY,Super Good Product,5.0,0.52,0.63,Positive
Flipkart Customer,Mobile battery consumption very fast So that I charge 3 times to charge in a day,4.0,0.26,0.78,Positive
Mohammad Mubarak,Everything lovely Just for the first time u wont feel much difference b w pro and non pro model iphones,4.0,0.32,0.43,Positive
Himanjan Bora,Coming from an iPhone 11 the upgrade is not completely unnecessary I can see few daily improvements which impacts me personally The battery back up is a good upgrade The cameras are obviously better The Dynamic Island is alright but not something I cannot live without Face ID works smoother I am not into games so no comments on that For a regular person this phone is more than enough And for people with other Apple devices this is just an awesome part of the ecosystem,4.0,0.19,0.39,Positive
Ajay Vishwakarma,Love the performance,5.0,0.5,0.6,Positive
dr sachchidanand pardeshi,Very good quality,5.0,0.91,0.78,Positive
Nandita Panchal,Brilliant,5.0,0.9,1.0,Positive
Aniket Zurange,I order smartphone from Flipkart This is my 4th phone i order I have had the best experience every time,5.0,1.0,0.3,Positive
jithu reddy,Performance super,5.0,0.33,0.67,Positive
KALPESH SHIRSEKAR,Coming from iphone 12 mini Camera is definitely a upgrade over the previous generation Design outside remains the same Pastel colours with matte finish The Dynamic Island is what i liked for the notification part Processor of previous generation pro models Overall a value for money among the 15 models Got it a great deal in flipkart clubbing exchange and bank offers Delivery was on time,5.0,0.12,0.27,Positive
Abhishek Kumar,awesome camera looks like Captured DSLR quality Sounds quality best Battery backup is good not better and best About performance i have no words,5.0,0.69,0.54,Positive
Suraj Mehra,Nice,5.0,0.6,1.0,Positive
Flipkart Customer,Nice one,5.0,0.6,1.0,Positive
Thilak Kumar,I upgraded from iPhone 13 to 15 and this phone is awesome worth the money go for it,4.0,0.65,0.55,Positive
Ashish Raj,Awesome phone,5.0,1.0,1.0,Positive
Monish B,Battery is worst I am moving from android so i feel my 20k android phone is better than this iphone Although i brought this for apple ecosystem,4.0,-0.25,0.75,Negative
Shivani Jain,Awesome switch from android to iOS,5.0,1.0,1.0,Positive
Krishna kishor Singh,best camera phone,5.0,1.0,0.3,Positive
Flipkart Customer,Superb Shifted from Android to iPhone 15 classs,5.0,1.0,1.0,Positive
Flipkart Customer,Great phone except the battery which isn t bad as well Just not as good as other flagships,5.0,0.17,0.6,Positive
Aman Nur,good one,5.0,0.7,0.6,Positive
Subhodeep Roy,Fully satisfied,5.0,0.5,1.0,Positive
Manya Customer,The phone is pretty awesome Switching from android to ios Smooth performance amazing camera and battery backup so far is great Worth it,5.0,0.49,0.75,Positive
Gulshan Ahmed,Overall same,5.0,0.0,0.06,Negative
K.srinath Sri,Amazing product Best iPhone out of all the iPhone series,5.0,0.8,0.6,Positive
Amitabh Srivastava,This is an amazing phone and back side of phone is frozen glass which makes it less prone to finger marks while holding Till now enjoying it will update with further details after a week,5.0,0.19,0.41,Positive
Sumitra Swain,Awasome Phone Awasome Camera Rest is History Dudu,5.0,0.0,0.0,Negative
Vishnu Belamana,Worth Varma,4.0,0.3,0.1,Positive
Vanshu Customer,Arrived on launch day and after using it for a day the iPhone 15 is AMAZING After almost 5 years it was finally time for me to upgrade from my iPhone XR Set up was smooth and seamless especially using iCloud to transfer data over The display is greatly improved and it gets a lot brighter which is helpful outdoors The dynamic island works smoothly even on the standard model s 60Hz screen This phone s cameras take highly detailed photos even without a dedicated telephoto lens In terms o,5.0,0.27,0.57,Positive
K Deepak,Awesome product,5.0,1.0,1.0,Positive
Vikash Kumar,Just luking like a aww,4.0,0.3,0.9,Positive
Nasir Uddin Sheikh,iPhone 15 impresses with sleek design powerful performance and stunning camera upgrades A technological leap forward delivering a top tier experience,4.0,0.43,0.83,Positive
Ijas S,I was looking for a compact phone as daily driver which has a good camera performance stability and especially display I was hesitant to move from Android to an IOS but yeah I won t regret I loved the camera Loved the display phone is handy can use it in one hand clean software ofcourse I love how Apple has given importance to the privacy and security of the user and their devices too Have been using it regularly with a 6 9 hours of screentime and the battery lasts for more than,5.0,0.41,0.6,Positive
Sayan Ray,Nice device,5.0,0.6,1.0,Positive
Mohd Hasnain,Upgraded from iPhone 11 The camera quality is awesome The display quality is great and the dynamic island working perfectly Happy with Apple and Flipkart,5.0,0.65,0.73,Positive
Arman Ali,Pros 48MP Camera With 2x Zoom Dynamic Island USB C Port Superb Design and Premium Build Cons Only 60Hz Display Refresh Rate Slow Charging No Action Button No Always on Display Rating Camera 4 5 5 Battery 4 5 Performance 4 5 5 Charging 4 5 Display 4 5 Design and Build 4 5 5 Sound 4 5 Software 4 5 5 Value For Money 4 5 Overall Experience 4 5 5 Hit Like Button If This Review Really Helps You,5.0,0.16,0.41,Positive
Harpreet Singh,v v good,5.0,0.7,0.6,Positive
Gaurav Verma,Not giving a fast refresh rate is really a bad idea Shame on you apple with this range of phone this kind of average feature should have been given,3.0,-0.01,0.64,Negative
Vipul Kumar singh,Awesome quality,5.0,1.0,1.0,Positive
Jayanth K B,I just loved it Thank you so much,5.0,0.45,0.5,Positive
Raghupathireddy Paindla,Very good Happy with the product Camera quality and performance is amazing,5.0,0.77,0.89,Positive
Yash saini,Battery lasted longer than my first relationship 4days Listening to arijit singh songs on full volume since then still isn t getting over Has more warmth than her Unlike her there s two way communication here as touchpad is very responsive Fingerprint unlock is nice as it only opens up to me 5 Star for this 1 for Shivanshi,5.0,0.32,0.61,Positive
Dipanjan Saha,The photos clicked with the mobile just seems awesome and lively,5.0,0.57,0.75,Positive
jeet sikder,10 10 I love this love it very good work,5.0,0.64,0.66,Positive
Flipkart Customer,Good stuff bss thora battery cazual hai,5.0,0.7,0.6,Positive
Srasthanibedita Swain,Awsm,5.0,0.0,0.0,Negative
Sadiya Sadi,Nice just heat issue,5.0,0.6,1.0,Positive
Flipkart Customer,Goood phone,5.0,0.0,0.0,Negative
Saswata Dash,Awesome battery backup Best lowlight camera,5.0,1.0,0.65,Positive
Abhishek Yadav,Amazing camera quality,5.0,0.6,0.9,Positive
shanavas vn,SUPER 12 MINI TO 15,5.0,0.33,0.67,Positive
mohit raj,I have been an Android phone user since ever until now The matte frosting on the back is marvelous and doesn t attract fingerprints or smudges I love the form factor as it s one hand friendly For better gaming experience users should opt for the plus size The screen is great with excellent outdoor visibility The battery life is crazy good especially the standby time Barely sips anything overnight I am using an Android fast charger to charge this and the charging time is decent no is,4.0,0.36,0.63,Positive
Flipkart Customer,After 10 days of use Camera 10 10 Battery 8 10 I am a light user so battery stands more than 20 hrs Performance 10 10 Display 10 10,4.0,0.45,0.6,Positive
Shailesh choudhari,Best phone i have ever used in terms of performance photography and other features,4.0,0.44,0.34,Positive
Vikas Pathade,My Experience from January to till date was awesome it gives you best performance in any features than other iPhones,5.0,0.62,0.56,Positive
Rohit Pingale,Nice Colour,5.0,0.6,1.0,Positive
Mohammad Amir,Design and performance is good But somehow I felt the quality and standard is not the same as it used to be It does heat up while charging and prolonged usage This is unexpected and unacceptable Also there are connectivity issues with Apple CarPlay,3.0,0.2,0.43,Positive
Shivam Maurya,Nice product Best phone,5.0,0.8,0.65,Positive
santosh parida,Excellent,5.0,1.0,1.0,Positive
Sachinaaaa,A fantastic product I was an iPhone 13 user I have upgraded to this Brilliant display I can see a great difference in battery backup I can also say that the Dynamic Island helps in UI to the users Looks premium Price range might drop in a year Thanks for Flipkart sale days,5.0,0.46,0.6,Positive
Rajveer Singh,Best in class Device Apple never ceases to Amaze customers Lightweight and sleek look Matte back finish helps with a fine grip,5.0,0.47,0.27,Positive
Dhruv M Golwala,Awesome experience entering the apple ecosystem below are some of the pros and cons Pros 2 camera is awesome and clicks good photos even in daylight and night 3 size is perfect and easy to handle 4 Apple ecosystem is the best 5 battery charging rate is good and not too slow and battery backup is also lasting 1 day for a normal usage 6 Dynamic Island is the best upgrade from 14 7 texture and phone build quality has improved a lot Cons 1 sometimes phone gets heated but that is ma,5.0,0.56,0.57,Positive
MONIRUL MOLLA,Best photo for iPhone 15,5.0,1.0,0.3,Positive
Naseer Ahmed,My mom gift,5.0,0.0,0.0,Negative
Yadu krishnan,Awesome experience thanks to flipkart,5.0,0.6,0.6,Positive
Khushboo Verma,Great experience,5.0,0.8,0.75,Positive
Dr Babu Mandal,Marvellous camera Light weight Perfect handy Used every pro version before 15 But trust me I personally feel this 15 is at par with its pro version camera,5.0,0.5,0.72,Positive
Flipkart Customer,I bought at 53k for my Father He really liked the phone Best phone at this price range Camera 5 5 Display 5 5 Battery 4 5 Performance 5 5 Only cons is that it still comes with 60Hz display and battery does not last long,5.0,0.31,0.51,Positive
Kishan Behera,Speechless So Beautiful So Elegant Just Looking Like Of Wow I Upgrde iPhone 12 To IPhone 15,5.0,0.48,1.0,Positive
MOHAMMAD SHAHNAWAZ,Gud product,5.0,0.0,0.0,Negative
Mohamed Suheb,Mind blowing purchase I received the right item Thank you Flipkart If telling about iPhone its value for money Great camera and video 5 5 Display 5 5 Sound and heroics 5 5 Overall good,5.0,0.44,0.46,Positive
Ashwani Kumar,Fantastic,5.0,0.4,0.9,Positive
Malay Singha,Good product value for money terms are not suitable for this type of product because a huge amount for any middle class Indian tex payer person,5.0,0.21,0.56,Positive
ALIM Khan,Good over,5.0,0.7,0.6,Positive
SAURABH KUMAR,Firstly I worried that Flipkart send duplicate or refurbished iPhone but I am wrong great shopping experience genuine product at reasonable price max discount rather than other online or offline platforms great deal with Flipkart I am impressed and obviously great product from Apple,5.0,0.4,0.66,Positive
Ravi Gangrale,Great camera quality,5.0,0.8,0.75,Positive
Bhupesh Pant,Awesome Phone with awesome camera Updated from iphone 13 to 15 I love this,5.0,0.83,0.87,Positive
Raghava Karthik,Beautiful camera and also updated features for iPhone 15,5.0,0.85,1.0,Positive
Leo Jonas Doyom,Great device The 60hz is not a big deal like the influencers says that it is,5.0,0.4,0.42,Positive
Aditya Arya,Happy,5.0,0.8,1.0,Positive
Munish Choudhary,Camera is good,5.0,0.7,0.6,Positive
neeraj gour,Super,5.0,0.33,0.67,Positive
Priya Mm,The product is good the battery is decent and there are no heating issues as public mentioned before buying this Sound quality is amazing and no need speaker Display and picture quality like theatre experience Small screen but lot of wonders,5.0,0.27,0.51,Positive
G MOHAMMED SALEEM,Good my 2nd i phone,5.0,0.35,0.3,Positive
Sushobhit Meena,Good phone but display 60 hz very slow in 2023,4.0,0.15,0.56,Positive
Baban Dey,Great product must buy if you are iPhone lovers,5.0,0.8,0.75,Positive
Rohit Semwal,You have to charge it 3 times atleast if you use it as a primary phone Otherwise the phone is yoo,5.0,0.4,0.5,Positive
Srimanti Dutta,This is my first iPhone Bought it from flipkart and flipkart never disappoints me Bought it during Republic Day sale and got a really good deal Thank You Flipkart,5.0,0.47,0.47,Positive
Shrikant Panigrahi,Black one is classy Photos are much better than 13,5.0,0.14,0.61,Positive
NOOR ALAM,Awsm,5.0,0.0,0.0,Negative
Aarif Khan,Apple iPhone 15 blue 128GB GOOD MOBILE phone Name Aarif khan Alwar Rajasthan Indian,5.0,0.35,0.35,Positive
Utpal Mondal,This is undoubtedly the best in the market Feels premium and also the performance is at par excellence A beast in terms of camera quality and battery backup,5.0,1.0,0.3,Positive
Akash Khabale,Why the apple does not work on battery backup Its really worst according to price battery backup is very bad you need to charge 2 times for a days Even 6k 7k price phone gives awesome battery life,3.0,-0.3,0.96,Negative
kantu G K,Its good but its bad in battery condition and its has heating issue This mobile is not for heavy mobile user like This is ok for professional person This is for avarage mobile user Who have this mindset brand and society remarks are important So go for Otherwise there are lot of mobiles available with adavance thecnology and with comfortable and better user interface,4.0,0.23,0.56,Positive
ATHAR faisal,To Dear Flipkart Team I hope this email finds you well I am writing to bring to your attention an issue I encountered during my recent access to Urly on 25th September 2024 through my Plus membership On the night of 25th September I eagerly awaited the bigbillion sale and placed an order for an iPhone 15 using my HDFC credit card However despite multiple attempts the order did not go through I eventually made the full payment via Google Pay but noticed discrepancies in the amount ch,3.0,0.12,0.27,Positive
Charan,Mobile heats a lot and battery drain fast,3.0,0.2,0.6,Positive
Hardik Chaudhary,It was on republic sale I got value for money Piece is genuine Camera is best with 48 MP primary lens Performance is very good There are some restrictions otherwise it is very good,5.0,0.72,0.57,Positive
Flipkart Customer,Nice,5.0,0.6,1.0,Positive
Ogam Tayeng,After 4 months Cons 1 Still heats eats up a lot 2 Wifi connection is very poor in this model it fails to connect most of the time automatically where I manually need to search and join the wifi and then again it automatically disconnects I have an iPad air which works fine maybe it s a range issue 3 My keyboard switches automatically from Microsoft SwiftKey to stock ios keyboard Idk what s the issue 4 Need to switch to airplane mode after going out from the wifi range otherwi,3.0,-0.03,0.52,Negative
Manish sinha,I love it,5.0,0.5,0.6,Positive
Varindra Sahu,Best purchase,5.0,1.0,0.3,Positive
seetha Ram,Mobile is good battery is drain fast 1 day 2 time charging I am heavy user but still good,5.0,0.35,0.58,Positive
Flipkart Customer,Only using this for few days here are my pro and cons Pro 1 Form factor is very nice small design 2 Battery life is really good easily 1 day with heavy usage 3 Camera quality is really insane Cons 1 Charging takes too much time 2 60hz display although once you get used to its not much of an issue 3 Some times phone gets hot,5.0,0.06,0.61,Negative
Flipkart Customer,A very good product and also loved it,5.0,0.8,0.79,Positive
Flipkart Customer,Probably best phone to buy under 53k Overall good balanced phone Being a ios device it ll never give you the fun of an Android device Buy only if you want it for professional reasons,5.0,0.35,0.37,Positive
Abi Yuvan,Battery only drain fast Battery health 98 at two month But worth,5.0,0.17,0.57,Positive
jagabandhu jena,Design The iPhone 15 has a satin finished design and a durable glass panel on the front Dynamic Island The Dynamic Island helps with multitasking IP68 ingress protection The iPhone 15 can withstand being submerged in up to 6 meters of fresh water for 30 minutes Stereo speakers The iPhone 15 s stereo speakers are loud and have good sound quality The battery life is lower than expected draining very fast and as usual heating issues there,5.0,0.16,0.45,Positive
Adhitya Ramakrishnan,Everything is awesome Great phone,5.0,0.9,0.88,Positive
Gayatri Godara,If you aree happy if you are feeling good then nothing else matters,5.0,0.75,0.8,Positive
Satyam Singh,Nice phone,5.0,0.6,1.0,Positive
Atul kumar Soni,This is the first time I ve purchased iphone and it s great Performance speed and the feature is good and new update of the IOS having great feature and customizations in the UI,5.0,0.54,0.58,Positive
Santhosh Bachu,Very nice iPhone 15 very good quality very nice display Very nice camera thanks,5.0,0.69,0.8,Positive
pankaj singh,Nice product camera is awesome also light weight,5.0,0.67,0.9,Positive
Gaurav Kumar,Awesome experience in my opinion I am first time iPhone user And can say Camera 10 10 Performance 10 10 Display 10 10 Battery 8 10,5.0,0.62,0.67,Positive
R K,Everything is fine but sometimes it unnecessarily heats up,5.0,0.01,0.7,Negative
Babul Ali,NICE,5.0,0.6,1.0,Positive
ANKIT ANAND,Nice product but battery quality Bad,5.0,-0.05,0.83,Negative
Deepak Meena,Nice prod,5.0,0.6,1.0,Positive
Flipkart Customer,Beast in that price range,5.0,0.0,0.0,Negative
Flipkart Customer,Wonderful performance Camera quality is superb battery backup not that good sound quality is awesome,5.0,0.82,0.8,Positive
Ritu Raj,Best product,5.0,1.0,0.3,Positive
Rupesh jha,Switched from Redmi 12 5G to Iphone 15 It feels like I have never used Phone Totally Worth It and the Feeling of using Iphone is Super Awesome,5.0,0.54,0.59,Positive
PRAKASH MANDAL,Nice prodouct thank you flipkart,5.0,0.6,1.0,Positive
SHUVAM DAS,Switching Android to ios awesome experience I just love it And thanks Flipkart for open box delivery option,5.0,0.42,0.57,Positive
Yadav ajeet Yadav,iPhone 15 better than 16,5.0,0.5,0.5,Positive
Sourajyoti Malakar,What to say about iphone If you have money then buy it,5.0,0.0,0.0,Negative
Vicky Krishna,Am a Android User First Time Switching To IOS Really Its Awesome iphone 15 Camera 5 5 Battery 4 5 Design 5 5 Display 5 5 Speaker 5 5,5.0,0.48,0.51,Positive
MOBARAK SK,All are good,5.0,0.7,0.6,Positive
Flipkart Customer,Initially I missed 120 Hz screen refresh rate after switching from Mi 11x pro to iphone15 It been a month using iPhone 15 accordingly to my experience unless you want to purchase more apple products like Mac book apple watch etc it is not smart decision to buy iphone But I surely appreciated it s small form factor and less weight Battery backup is also good,5.0,0.13,0.33,Positive
Prashanth Reddy,Awesome product and received an original product,5.0,0.69,0.88,Positive
KaryD,Awestruck by its performance,5.0,0.0,0.0,Negative
Biswadeep Roy,Far better than 15pro no finger print even with moisturize hands,5.0,0.3,0.75,Positive
Venkat Ramana,Amazing Just go and buy it blindly if you have enough of money,5.0,0.03,0.69,Negative
Vishnu Singh,Phone is good built lightweight handy camera good quality display great phone is nice if love it s OS and can spend that much,4.0,0.59,0.66,Positive
Ashbin paul Paul,I bought this in big billion days in Flipkart overall the pho,4.0,0.0,0.05,Negative
Shadab Lampsy,Apple as usual Eco system is great Rest all are average for the price but I paid for the ecosystem,4.0,0.13,0.47,Positive
Manoj negi,Phone is good but if u already have an iPhone 12 13 14 then it s not worth upgrading same design and similar performance except dynamic Island which I guarantee you will ever notice or use,4.0,0.11,0.28,Positive
Motam Jamatia,I phone is phone nothing but it s a brand that makes the cost Better should be more improved And it gives heat,4.0,0.5,0.5,Positive
Praveen sarwa,Product is good But worst delivery experience,4.0,-0.15,0.8,Negative
Deepti Rankhambe,Overall performance is best Good aesthetic and nice color Only thing worries me that it gets really hot with increase of brightness and during 15 min video call,4.0,0.42,0.63,Positive
Sandeep Mehta,Phone is great,4.0,0.8,0.75,Positive
Nalinakshya Sahoo,Phone is good Good battery backup upgraded camera But I feel refresh rate should be 90hz atleast,4.0,0.7,0.6,Positive
Amit Tekriwal,The only thing I like about this phone is the camera quality and that is the reason I bought this phone I already have an Android phone which is less than 50 of its price and still is better in every aspect except the camera Well Definitely iphone 15 has a flagship level chipset but I am not a gamer and a normal user and I find mid rangers and flagship all perform at similar level in daily tasks While iphone 15 only has 60hz screen which feels choppy all other phones have 120 144hz scr,3.0,0.01,0.43,Negative
Baljinder Singh,Too much heat when camera used,3.0,0.2,0.2,Positive
ANKIT kumar,The best part of camera is cinematic video which is fabulous Rest of the things are good but cinematic mode is on next level higher rate is missing which may hurt phone noise cancellation is on Also next level Some small small features which make sweet point to use and make it different from android efforts of making iOS and developing some sweet sweet things are appreciable and if you have MacBook or iPad ecosystem work fantastically the best things for this iPhone is much much better,5.0,0.25,0.41,Positive
Suman Chakraborty,awsm phone best performance,5.0,1.0,0.3,Positive
Durga prasad,Good,5.0,0.7,0.6,Positive
anujyadav anuj,Very good product,5.0,0.91,0.78,Positive
Ashwani Mishra,The iPhone 15 features a 48 megapixel main camera sensor It is powered by the A16 Bionic SoC The iPhone 15 now comes with Dynamic I,5.0,0.08,0.25,Negative
Krupansh Patel,Overall Beast Performance 10 10 Just Go For It,5.0,0.0,0.0,Negative
Dev Sarda,The best one from apple,5.0,1.0,0.3,Positive
Naresh Soni,Very good,5.0,0.91,0.78,Positive
Flipkart Customer,Execpt battery everything work awesome,5.0,1.0,1.0,Positive
Sudipto Sarkar,What a phone super performance with light weight Please find my details review as follows 1 Camera camera is super with very gud quality photo even at night as well 2 Battery battery backup is fine and will last for one day long 3 Performance iphone 15 performance is super No lagging and no heating issue Cons 1 Battery could be better at this price range 2 Face recognition is not good as not always open with face ID,5.0,0.19,0.51,Positive
Tekchand Biswal,Nice product The look of the phone is awesome Great to have the iphone black color,5.0,0.56,0.8,Positive
ABDUR RAHMAN,First time experiencing I phone It feels premium and quality is awesome love it,5.0,0.58,0.64,Positive
Santu Rana,I have both galaxy s23 and iphone galaxy is taking 9 10 good photos compared to iphone 7 10 photos Iphone only shine on video For better photo buy galaxy s23 Better video go for iphone,4.0,0.42,0.65,Positive
